"CSV.5 | Subject Group","PAIRED"
"Subject Public ID","Pilot_M"
"Subject First Name",""
"Subject Last Name",""
"Subject Date of Birth",""
"Record Date/Time","20210824-105712EDT"
"Condition","Open Ended"
"File Name","20210824-105712_MLK_Walk.h5"
"Trial Notes","SSQQS_temporal"
"Analysis Log","Info::Found 28 valid gait cycles"
"Analysis Version","4"
,,,,,"Iteration #"
"Measure","Normative Mean","Normative StDev","Mean","StDev","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"Anticipatory Postural Adjustment - APA Duration (s)","0.51","0.26","0.38","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anticipatory Postural Adjustment - First Step Duration (s)","0.52","0.05","0.46","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anticipatory Postural Adjustment - First Step Range of Motion (degrees)","33.17","9.49","25.54","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anticipatory Postural Adjustment - Forward APA Peak (m/s^2)","0.52","0.28","0.41","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anticipatory Postural Adjustment - Lateral APA Peak (m/s^2)","0.44","0.20","0.32","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duration (s)","","","61.75","0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gait - Joint - Ankle - Ev-Inv Max. L (degrees)","","","9.40","3.35","7.01","7.36","8.23","4.13","5.90","1.97","4.12","13.22","13.91","13.41","13.43","13.37","14.47","13.18","13.02","11.12","12.40","7.63","8.27","10.29","10.13","8.46","7.16","7.84","8.82","8.36","8.36","7.53"
"Gait - Joint - Ankle - Ev-Inv Max. R (degrees)","","","0.79","2.09","1.34","2.39","1.23","2.81","2.27","1.06","2.88","2.62","-0.16","3.83","1.76","-1.86","-1.31","-2.87","-0.04","0.82","0.76","0.01","2.11","2.11","3.75","2.55","1.05","1.55","0.25","-3.61","-4.24","-0.91"
"Gait - Joint - Ankle - Ev-Inv Max. Asymmetry (%Diff)","","","-181.06","126.06","-135.81","-101.95","-147.99","-38.04","-88.86","-60.07","-35.43","-133.84","-204.65","-111.14","-153.65","-264.64","-239.82","-311.35","-201.23","-172.53","-176.90","-199.48","-118.69","-131.94","-91.93","-107.36","-148.84","-133.97","-188.97","-504.00","-611.65","-254.98"
"Gait - Joint - Ankle - Ev-Inv Min. L (degrees)","","","-42.97","4.47","-37.62","-36.20","-37.13","-33.83","-43.67","-41.07","-44.95","-50.39","-42.45","-46.96","-51.81","-42.05","-47.27","-43.34","-36.14","-39.75","-40.36","-38.33","-44.19","-42.74","-43.84","-45.85","-44.78","-42.44","-49.16","-43.53","-44.91","-48.27"
